ts,load_mbps
2022-04-25 14:45:00,25248593.33333334
2022-04-25 15:00:00,25390050.333333325
2022-04-25 15:15:00,25474121.999999996
2022-04-25 15:30:00,25551418.33333333
2022-04-25 15:45:00,25978446.333333317
2022-04-25 16:00:00,26692160.999999996
2022-04-25 16:15:00,26340903.66666666
2022-04-25 16:30:00,25973135.333333336
2022-04-25 16:45:00,26356291.333333343
2022-04-25 17:00:00,26969508.000000004
2022-04-25 17:15:00,26905407.333333313
2022-04-25 17:30:00,27174138.000000007
2022-04-25 17:45:00,27708971.333333295
2022-04-25 18:00:00,27888083.33333332
2022-04-25 18:15:00,27473842.166666668
2022-04-25 18:30:00,27243848.666666698
2022-04-25 18:45:00,27836587.000000022
2022-04-25 19:00:00,28687797.333333343
2022-04-25 19:15:00,29156544.333333317
2022-04-25 19:30:00,29211689.000000015
2022-04-25 19:45:00,28838683.66666667
2022-04-25 20:00:00,28344185.666666657
2022-04-25 20:15:00,28609549.00000002
2022-04-25 20:30:00,29749417.333333325
2022-04-25 20:45:00,30254801.66666668
2022-04-25 21:00:00,29874785.33333334
2022-04-25 21:15:00,29603192.000000007
2022-04-25 21:30:00,29999455.0
2022-04-25 21:45:00,29768867.5
2022-04-25 22:00:00,30054270.333333336
2022-04-25 22:15:00,29965070.666666653
2022-04-25 22:30:00,30005805.33333333
2022-04-25 22:45:00,30444075.666666653
2022-04-25 23:00:00,32134409.333333325
2022-04-25 23:15:00,32683261.666666657
2022-04-25 23:30:00,33090602.000000004
2022-04-25 23:45:00,33346078.33333334
2022-04-26 00:00:00,34019788.33333334
2022-04-26 00:15:00,34892080.999999985
2022-04-26 00:30:00,36946643.66666671
2022-04-26 01:00:00,39257635.000000015
2022-04-26 01:15:00,40026882.00000002
2022-04-26 01:30:00,40865224.0
2022-04-26 01:45:00,41571701.66666668
2022-04-26 02:00:00,41894219.66666665
2022-04-26 02:15:00,41200858.33333332
2022-04-26 02:30:00,41147387.33333331
2022-04-26 02:45:00,41321542.66666668
2022-04-26 03:00:00,40061870.66666665
2022-04-26 03:15:00,38532818.33333336
2022-04-26 03:30:00,36702886.66666666
2022-04-26 04:00:00,34644067.66666666
2022-04-26 04:15:00,34352225.33333335
2022-04-26 04:30:00,32759635.66666669
2022-04-26 04:45:00,31707157.66666666
2022-04-26 05:00:00,29566345.666666687
2022-04-26 05:15:00,28594323.000000004
2022-04-26 05:30:00,26676881.999999993
2022-04-26 05:45:00,25819642.666666675
2022-04-26 06:00:00,23836865.333333362
2022-04-26 06:15:00,22830233.666666664
2022-04-26 06:30:00,21379068.333333313
2022-04-26 06:45:00,20941843.666666664
2022-04-26 07:00:00,19902297.666666668
2022-04-26 07:15:00,19251096.00000001
2022-04-26 07:30:00,18276663.333333336
2022-04-26 07:45:00,17682560.666666657
2022-04-26 08:15:00,16906281.000000007
2022-04-26 08:45:00,16169410.66666667
2022-04-26 09:00:00,15736342.33333334
2022-04-26 09:15:00,15498685.0
2022-04-26 09:30:00,15572081.333333336
2022-04-26 09:45:00,15558718.666666662
2022-04-26 10:00:00,15736876.000000002
2022-04-26 10:15:00,15994215.00000001
2022-04-26 10:30:00,16408553.333333332
2022-04-26 10:45:00,16781673.000000015
2022-04-26 11:00:00,17540588.0
2022-04-26 11:15:00,18038384.666666668
2022-04-26 11:30:00,18859950.333333325
2022-04-26 11:45:00,19251022.333333332
2022-04-26 12:00:00,20150859.666666675
2022-04-26 12:15:00,20312961.999999993
2022-04-26 12:30:00,20754782.333333336
2022-04-26 12:45:00,21255112.999999996
2022-04-26 13:00:00,21840525.66666667
2022-04-26 13:15:00,22051910.333333343
2022-04-26 13:30:00,23307725.00000002
2022-04-26 13:45:00,23783096.000000037
2022-04-26 14:00:00,23784561.666666653
2022-04-26 14:15:00,23713900.666666675
2022-04-26 14:30:00,24128821.666666683
2022-04-26 14:45:00,24575071.000000007
2022-04-26 15:00:00,25354905.666666687
2022-04-26 15:15:00,25094145.333333347
